orth,pron,pattern,nphon,v_lec,v_lec_freq,v_lec_nh,v_lec_nh_freq,v_psum,v_pskew,v_pkurt,v_psd,v_pfwsum,v_psum_nh,v_pskew_nh,v_pkurt_nh,v_psd_nh,v_pfwsum_nh,a_denb,a_denb_freq,a_denb_nh,a_denb_nh_freq,a_dena,a_dena_freq,a_dena_nh,a_dena_nh_freq,a_dena_hfn,a_dena_hfn_nh,a_denb_hfn,a_denb_hfn_nh,a_psum,a_pskew,a_pkurt,a_psd,a_pfwsum,a_psum_nh,a_pskew_nh,a_pkurt_nh,a_psd_nh,a_pfwsum_nh,a_wt_psum,a_wt_pskew,a_wt_pkurt,a_wt_psd,a_wt_pfwsum,a_wt_psum_nh,a_wt_pskew_nh,a_wt_pkurt_nh,a_wt_psd_nh,a_wt_pfwsum_nh
chief,t∫if,CVC,3,5,6.3040,4,6.1775,5.8880,21.9481,633.4630,0.0267,42.8983,5.3343,21.5958,601.0976,0.0280,38.9981,14,7.2964,12,7.5292,12,7.4658,11,7.4658,1,1,1,1,31.7346,17.0289,396.2313,0.0200,254.4090,26.5188,17.7035,431.7307,0.0183,216.5050,20.1139,9.9733,127.7671,0.0371,162.1795,16.8510,10.0118,129.6312,0.0350,139.1355
cheek,t∫ik,CVC,3,13,7.3723,11,7.5327,18.7813,11.1561,152.4042,0.0524,148.7803,15.3515,10.6391,147.7341,0.0457,125.0248,29,7.9600,19,8.5895,28,7.9525,18,7.9525,12,10,12,10,27.4895,16.6335,356.1724,0.0188,220.4932,22.4772,17.8905,436.3659,0.0162,184.6880,17.9884,9.1803,102.6754,0.0358,145.9253,14.3789,9.9538,128.1153,0.0310,120.7582
cheap,t∫ip,CVC,3,9,7.9800,8,7.9563,12.0989,12.2491,167.8531,0.0492,97.6881,11.0927,12.0215,161.0599,0.0510,90.2564,19,8.2789,19,8.2789,19,8.2789,19,8.2789,3,3,3,3,26.7445,17.2662,431.5188,0.0172,215.5563,23.1548,18.3090,470.2643,0.0172,189.2327,17.2003,9.8179,130.3395,0.0326,140.4504,15.0391,9.9835,131.0646,0.0336,125.0086
cheep,t∫ip,CVC,3,9,7.9800,8,7.9563,12.0989,12.2491,167.8531,0.0492,97.6881,11.0927,12.0215,161.0599,0.0510,90.2564,19,8.2789,19,8.2789,19,8.2789,19,8.2789,16,16,16,16,26.7445,17.2662,431.5188,0.0172,215.5563,23.1548,18.3090,470.2643,0.0172,189.2327,17.2003,9.8179,130.3395,0.0326,140.4504,15.0391,9.9835,131.0646,0.0336,125.0086
cheat,t∫it,CVC,3,6,8.1000,5,8.6680,19.9255,11.4563,156.7314,0.0518,163.8594,17.2168,11.5068,159.0064,0.0518,145.1511,22,8.7718,17,9.2300,21,8.6905,16,8.6905,13,12,14,13,27.6893,15.1638,315.4791,0.0171,225.8820,23.1356,16.4533,373.0337,0.0160,192.8952,18.1298,8.5605,93.8875,0.0325,150.1287,15.0338,9.1597,107.6597,0.0309,128.1792
cheese,t∫iz,CVC,3,6,8.0417,5,8.5980,19.4615,11.8781,169.6921,0.0510,158.9917,16.6072,11.7019,167.1834,0.0493,139.4697,26,8.3858,19,9.2300,25,8.3540,18,8.3540,11,11,12,12,27.3727,14.1176,289.3686,0.0154,219.9025,22.4273,14.4886,315.8447,0.0137,183.7437,17.3572,8.1945,90.7977,0.0287,139.8450,13.9904,8.3957,98.7393,0.0258,115.4829
Chad,t∫æd,CVC,3,12,7.4183,12,7.4183,22.1628,9.2054,104.3707,0.0498,186.7088,20.1475,8.7576,93.1841,0.0530,171.2372,17,8.6500,15,8.7647,14,8.5450,13,8.5450,8,8,10,9,28.1347,14.0823,343.8760,0.0117,223.6110,25.2815,14.2015,349.9803,0.0119,202.4192,15.4198,6.2291,49.7112,0.0178,129.4275,13.9664,5.9593,45.6422,0.0184,119.0785
chap,t∫æp,CVC,3,9,7.4178,9,7.4178,12.5533,11.2231,145.4257,0.0448,101.1463,11.7225,10.7600,131.8149,0.0475,94.9350,23,8.1096,21,8.1614,19,8.4426,17,8.4426,16,15,18,17,29.3912,14.3375,319.7598,0.0141,236.0919,26.9134,14.1810,307.7152,0.0146,217.5718,16.5090,7.6585,95.3199,0.0223,140.4843,15.2097,7.5022,90.2726,0.0233,130.8443
chat,t∫æt,CVC,3,12,7.3433,12,7.3433,21.5987,9.3464,109.1276,0.0487,181.7897,19.5898,8.9026,97.6033,0.0518,166.2719,19,9.1453,18,9.2000,16,9.1606,15,9.1606,6,6,7,7,29.3054,12.1467,264.8114,0.0123,240.5237,26.5795,12.1430,259.2828,0.0127,219.8550,17.2382,7.7012,100.7849,0.0217,148.6532,15.7579,7.5209,94.4086,0.0228,137.5529
chock,t∫ɑk,CVC,3,12,7.6300,11,7.4964,16.6927,11.2096,154.6190,0.0477,135.5840,15.2309,11.0228,148.7363,0.0495,124.1142,24,8.1071,21,8.1738,23,8.3061,20,8.3061,22,19,22,19,33.2010,17.5115,485.0184,0.0172,264.6865,30.1861,17.5662,480.4870,0.0176,242.3486,19.4626,10.7936,169.7158,0.0313,162.0982,17.7125,10.6952,163.5302,0.0327,149.1782
